Country Name,Regiona,Total CO2 emissions (thousand metric tons of CO2 excluding Land-Use Change and Forestry),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (metric tons per capita),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"GDP per capita, PPP (current international $)","Industry, value added (% of GDP)","Population, total",Research and development expenditure (% of GDP),Urban population (% of total population)
North Macedonia,Europe & Central Asia,254850,17,125,100,40,287673,740,116987573,7,3255
Norway,Europe & Central Asia,1935166,6,445,77,181,1412942,1610,265077197,34,4362
Oman,Middle East & North Africa,1171521,10,451,89,452,1035555,3311,121690453,2,3476
Pakistan,South Asia,4354623,7,34,37,303,103606,1216,7086334190,4,1840
Palau,East Asia & Pacific,9878,17,639,125,22,285210,208,924753,,4135
Panama,Latin America & Caribbean,276466,5,102,229,299,444105,1180,156070764,5,3396
Papua New Guinea,East Asia & Pacific,159043,7,29,161,232,85647,1661,301468441,0,729
Paraguay,Latin America & Caribbean,159022,3,32,53,275,267632,1717,263936274,1,2956
Peru,Latin America & Caribbean,1575643,5,72,114,204,237000,1523,1319660147,2,4096
Philippines,East Asia & Pacific,3104184,6,46,61,251,153389,2033,3914925424,1,2517
Poland,Europe & Central Asia,19646472,21,544,88,107,522154,760,2204611073,17,3539
Portugal,Europe & Central Asia,2166747,7,215,116,184,708838,559,598808825,24,3001
Qatar,Middle East & North Africa,1536276,6,2694,72,169,2342067,624,47752646,2,5668
Romania,Europe & Central Asia,7213440,17,335,89,64,417108,1063,1288343872,11,2954
Russian Federation,Europe & Central Asia,131275143,32,943,50,23,,1073,8532423373,25,4237
Rwanda,Sub-Saharan Africa,26237,2,4,58,278,34818,942,416976895,1,566
Samoa,East Asia & Pacific,7058,7,41,61,76,133008,624,9942637,,1251
Sao Tome and Principe,Sub-Saharan Africa,3098,3,23,224,89,60706,303,7611836,,2742
Saudi Arabia,Middle East & North Africa,12653653,9,687,56,253,1386403,2942,1012886123,4,4176
Senegal,Sub-Saharan Africa,217824,6,25,58,184,73272,1274,505554097,1,2281
Serbia,Europe & Central Asia,1417660,18,191,85,79,292003,746,442871745,15,2912
Seychelles,Sub-Saharan Africa,15539,10,192,492,251,540451,784,4320517,2,2893
Sierra Leone,Sub-Saharan Africa,33397,3,8,137,163,33217,1046,270251247,,1949
Singapore,East Asia & Pacific,1783809,6,522,672,421,1866982,1736,206950546,44,6100
Slovak Republic,Europe & Central Asia,1112930,14,207,95,102,562968,778,308882094,16,3080
Slovenia,Europe & Central Asia,429970,8,213,50,61,680000,759,116576823,40,2847
Solomon Islands,East Asia & Pacific,10390,9,28,173,105,62550,,20769551,,854
Somalia,Sub-Saharan Africa,31290,0,4,57,90,6643,251,471145713,,1866
South Africa,Sub-Saharan Africa,16237949,23,442,42,167,300520,2040,2256438283,13,3297
South Sudan,Sub-Saharan Africa,11000,0,1,-3,-34,18069,394,366206033,,805
Spain,Europe & Central Asia,12368303,8,307,100,189,833941,638,2400874463,26,4446
Sri Lanka,South Asia,452786,3,25,47,273,214137,1606,1014075740,1,1106
St. Kitts and Nevis,Latin America & Caribbean,7637,8,165,473,152,578245,968,2797234,,2007
St. Lucia,Latin America & Caribbean,13206,6,87,302,129,340565,176,8380798,1,1483
St. Vincent and the Grenadines,Latin America & Caribbean,7992,8,75,429,177,260868,725,6210514,0,2455
Sudan,Sub-Saharan Africa,409663,3,18,86,233,84274,945,1346666325,3,1563
Suriname,Latin America & Caribbean,101086,12,240,-166,157,356066,1947,26079108,,3707
Sweden,Europe & Central Asia,3543164,5,418,129,149,1121298,1045,528804751,64,5051
Switzerland,Europe & Central Asia,2356103,4,346,136,68,1467635,819,420193243,20,4489
Tajikistan,Europe & Central Asia,114630,10,17,98,75,65150,1155,321023586,2,1892
Tanzania,Sub-Saharan Africa,220984,2,7,79,165,52505,660,1725740093,1,1134
Thailand,East Asia & Pacific,6541042,9,106,96,344,338690,1966,3246583506,6,1911
Timor-Leste,East Asia & Pacific,5910,2,5,45,77,45408,261,48988943,,1247
Togo,Sub-Saharan Africa,58883,8,13,98,241,37068,1219,251669142,1,1734
Tonga,East Asia & Pacific,4257,8,44,50,81,129281,641,5646253,,1332
Trinidad and Tobago,Latin America & Caribbean,837551,23,700,215,183,634690,2594,71072500,2,3072
Tunisia,Middle East & North Africa,849080,9,96,113,231,237461,1495,487713633,11,3411
Turkey,Europe & Central Asia,9219589,8,152,40,279,487326,1573,3298378467,14,3366
Turkmenistan,Europe & Central Asia,1409190,46,291,187,180,233933,1531,225580603,,2882
Tuvalu,East Asia & Pacific,290,12,29,22,86,86694,280,512316,,2368
Uganda,Sub-Saharan Africa,99265,2,5,88,218,47437,951,1229519946,3,752
Ukraine,Europe & Central Asia,9612020,33,197,81,-34,235645,1090,2925816269,19,3833
United Arab Emirates,Middle East & North Africa,4332496,9,1795,61,212,2491784,2458,195234267,4,4921
United Kingdom,Europe & Central Asia,32402427,9,562,150,131,989592,663,3566529995,37,4829
United States,North America,279253638,14,1113,58,176,1336780,467,15556752717,61,4665
Uruguay,Latin America & Caribbean,319228,4,104,105,128,430742,995,188121219,6,5398
Uzbekistan,Europe & Central Asia,3303680,41,128,40,142,126312,900,1247207271,4,2624
Vanuatu,East Asia & Pacific,4592,6,30,285,91,74962,346,9708887,,1116
"Venezuela, RB",Latin America & Caribbean,6459278,10,336,44,151,284453,2219,1197583762,2,4941
Vietnam,East Asia & Pacific,3332200,10,42,179,229,112082,1169,4052526392,2,1408
"Yemen, Rep.",Middle East & North Africa,478443,6,26,27,52,73746,1178,854308510,,1343
Zambia,Sub-Saharan Africa,182533,3,26,177,192,74981,2458,535282172,0,2175
Zimbabwe,Sub-Saharan Africa,613761,15,66,46,162,68054,1354,578992277,,1605
