Country Name,Region,Regiona,Latitude (generated),Longitude (generated)
Samoa,1,East Asia & Pacific,-13.6221,-172.439
Philippines,1,East Asia & Pacific,17.181,121.256
Papua New Guinea,1,East Asia & Pacific,-5.636,142.798
Palau,1,East Asia & Pacific,7.5288,134.5573
New Zealand,1,East Asia & Pacific,-42.558,172.377
Nauru,1,East Asia & Pacific,-0.5287,166.9315
Myanmar,1,East Asia & Pacific,21.841,96.05
Mongolia,1,East Asia & Pacific,46.516,102.564
"Micronesia, Fed. Sts.",1,East Asia & Pacific,7.531,150.457
Marshall Islands,1,East Asia & Pacific,5.961,169.651
Malaysia,1,East Asia & Pacific,4.416,102.099
Lao PDR,1,East Asia & Pacific,19.595,102.538
"Korea, Rep.",1,East Asia & Pacific,36.338,128.16
Kiribati,1,East Asia & Pacific,2.048,-158.59
Japan,1,East Asia & Pacific,35.962,137.855
Indonesia,1,East Asia & Pacific,-0.739,114.045
Fiji,1,East Asia & Pacific,-17.7941,177.9783
China,1,East Asia & Pacific,35.1753,99.3877
Cambodia,1,East Asia & Pacific,12.69,104.444
Brunei Darussalam,1,East Asia & Pacific,4.452,114.557
Australia,1,East Asia & Pacific,-24.578,133.582
